,STAMP,Vehicle speed,STAMP,Time since engine start,STAMP,Normed load value,STAMP,Accelerator pedal position,STAMP,Engine torque,STAMP,Oil fill level,STAMP,Engine oil temperature,STAMP,Fuel level,STAMP,Fuel consumption,STAMP,Brake pressure,STAMP,Engaged gear: raw signal-Bits 0-7,STAMP,Efficiency of the SCR catalytic converter,
,, km/h,, s,, %,, %,, Nm,, mm,, °C,, l,, l/h,, MPa,, ,, ,
,1.30,0,1.40,412,0.04,24.7,0.15,14.5,0.28,30.1,0.41,35.704,0.55,32.1,0.67,8.00,0.79,0.58,0.92,-0.03,1.05,0,1.20,0.03430,
,2.78,0,2.89,413,1.51,24.7,1.58,14.5,1.71,30.3,1.84,35.704,1.99,32.1,2.11,8.00,2.26,0.60,2.38,-0.03,2.53,0,2.67,0.00912,
,4.28,0,4.38,415,3.00,25.5,3.10,14.5,3.24,29.9,3.37,35.644,3.52,32.1,3.64,8.00,3.77,0.59,3.89,-0.03,4.02,0,4.17,0.10178,
,5.77,0,5.88,416,4.49,25.5,4.60,14.5,4.74,30.4,4.87,35.724,5.02,32.1,5.14,8.00,5.26,0.59,5.39,-0.03,5.52,0,5.67,0.00000,
,7.33,0,7.44,418,5.99,25.5,6.10,14.5,6.26,30.1,6.39,35.704,6.52,32.1,6.65,8.00,6.79,0.59,6.93,-0.03,7.08,0,7.22,0.00000,
1,8.85,0,8.97,419,7.55,25.5,7.66,14.5,7.79,30.2,7.94,35.724,8.08,32.1,8.22,8.00,8.34,0.58,8.47,-0.03,8.60,0,8.75,0.02737,
,10.39,0,10.50,421,9.07,25.1,9.18,14.5,9.30,30.4,9.45,35.584,9.59,32.1,9.73,8.00,9.85,0.59,10.00,-0.03,10.14,0,10.28,0.01480,
2,11.90,0,12.01,422,10.61,25.1,10.73,14.5,10.85,30.2,10.98,35.584,11.12,32.1,11.27,8.00,11.39,0.58,11.52,-0.03,11.65,0,11.79,0.00000,
,13.34,0,13.44,424,12.10,25.5,12.22,14.5,12.34,30.1,12.48,35.524,12.60,32.1,12.75,8.00,12.86,0.59,12.99,-0.03,13.11,0,13.26,0.00562,
3,14.81,0,14.92,425,13.54,25.1,13.66,14.5,13.76,29.8,13.89,35.524,14.03,32.1,14.15,8.00,14.27,0.58,14.41,-0.03,14.56,0,14.71,0.02560,
,16.32,0,16.43,427,15.05,25.1,15.16,14.5,15.30,30.0,15.43,35.524,15.57,32.1,15.70,8.00,15.82,0.59,15.95,-0.03,16.08,0,16.21,0.03085,
,17.78,0,17.89,428,16.54,25.5,16.65,14.5,16.76,30.0,16.89,35.464,17.02,32.1,17.13,8.00,17.26,0.59,17.39,-0.03,17.52,0,17.67,0.02194,
